Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,39,8,T:System.Windows.RoutedEventArgs,,,,,"private void MoveToIgnore_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,34,8,T:System.Windows.RoutedEventArgs,,,,,"private void MoveToToCopy_Click(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,31,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = ViewModel;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,27,8,M:System.Windows.Window.#ctor,,,,,public MainWindow()          {              InitializeComponent();              var ViewModel = new MainWindowViewModel();              DataContext = ViewModel;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,25,104,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,31,12,P:System.Windows.FrameworkElement.DataContext,,,,,DataContext = ViewModel;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,27,8,M:System.Windows.Window.#ctor,,,,,public MainWindow()          {              InitializeComponent();              var ViewModel = new MainWindowViewModel();              DataContext = ViewModel;          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,obj\Debug\MainWindow.g.i.cs,42,83,T:System.Windows.Markup.IComponentConnector,,,,,IComponentConnector
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DatabaseCopier.csproj,File,MainWindow.xaml.cs,21,38,T:System.Windows.Window,,,,,Window
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DatabaseCopier.csproj,File,Engine.cs,82,8,T:System.Data.SqlClient.SqlRowsCopiedEventArgs,,,,,"public void ProgressEvent(object sender, System.Data.SqlClient.SqlRowsCopiedEventArgs args)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,DatabaseCopier.csproj,File,Engine.cs,84,12,P:System.Data.SqlClient.SqlRowsCopiedEventArgs.RowsCopied,,,,,"RowsCopiedNotify?.Invoke(this, args.RowsCopied);"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,DatabaseCopier.Models\DatabaseCopier.Models.csproj,File,DatabaseCopier.Models\DatabaseCopier.Models.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DatabaseCopier.Models\DatabaseCopier.Models.csproj,File,DatabaseCopier.Models\DatabaseCopier.Models.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,445,20,M:System.Data.SqlClient.SqlDataReader.GetInt64(System.Int32),,,,,rows = cReader.GetInt64(0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,444,20,M:System.Data.SqlClient.SqlDataReader.Read,,,,,cReader.Read();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,442,16,T:System.Data.SqlClient.SqlDataReader,,,,,using (var cReader = count.ExecuteReader())                  {                      cReader.Read();                      rows = cReader.GetInt64(0);                  }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,442,16,M:System.Data.SqlClient.SqlCommand.ExecuteReader,,,,,using (var cReader = count.ExecuteReader())                  {                      cReader.Read();                      rows = cReader.GetInt64(0);                  }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,440,16,M:System.Data.SqlClient.SqlConnection.Open,,,,,connection.Open();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,P:System.Data.SqlClient.SqlCommand.CommandTimeout,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,T:System.Data.SqlClient.SqlConnection,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,P:System.Data.SqlClient.SqlCommand.Connection,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,P:System.Data.SqlClient.SqlCommand.CommandType,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
